Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-01-17,The Red Turtle,2016,https://letterboxd.com/jacobworrel/film/the-red-turtle/,3,,2017-01-15
2017-01-18,Deadpool,2016,https://letterboxd.com/jacobworrel/film/deadpool/,2.5,,2017-01-17
2017-01-22,20th Century Women,2016,https://letterboxd.com/jacobworrel/film/20th-century-women/,3,,2017-01-21
2017-01-22,Neruda,2016,https://letterboxd.com/jacobworrel/film/neruda-2016/,3.5,,2017-01-21
2017-01-23,The Handmaiden,2016,https://letterboxd.com/jacobworrel/film/the-handmaiden/,2,,2017-01-22
2017-01-25,"I, Daniel Blake",2016,https://letterboxd.com/jacobworrel/film/i-daniel-blake/,3,,2017-01-23
2017-01-29,Kate Plays Christine,2016,https://letterboxd.com/jacobworrel/film/kate-plays-christine/,3,,2017-01-27
2017-01-30,The Edge of Seventeen,2016,https://letterboxd.com/jacobworrel/film/the-edge-of-seventeen/,4.5,,2017-01-29
2017-02-11,Paterson,2016,https://letterboxd.com/jacobworrel/film/paterson/,2.5,,2017-02-08
2017-02-19,Elle,2016,https://letterboxd.com/jacobworrel/film/elle/,3,,2017-02-17
2017-02-19,Julieta,2016,https://letterboxd.com/jacobworrel/film/julieta/,2.5,,2017-02-17
2017-02-19,Lion,2016,https://letterboxd.com/jacobworrel/film/lion/,3,,2017-02-18
2017-02-21,Nocturnal Animals,2016,https://letterboxd.com/jacobworrel/film/nocturnal-animals/,3,,2017-02-20
2017-02-22,The Founder,2016,https://letterboxd.com/jacobworrel/film/the-founder/,3,,2017-02-22
2017-03-06,Logan,2017,https://letterboxd.com/jacobworrel/film/logan-2017/,3.5,,2017-03-03
2017-03-06,Live by Night,2016,https://letterboxd.com/jacobworrel/film/live-by-night/,2,,2017-03-05
2017-03-06,Deepwater Horizon,2016,https://letterboxd.com/jacobworrel/film/deepwater-horizon/,3.5,,2017-03-05
2017-03-07,Hacksaw Ridge,2016,https://letterboxd.com/jacobworrel/film/hacksaw-ridge/1/,4,,2017-03-05
2017-03-12,Get Out,2017,https://letterboxd.com/jacobworrel/film/get-out-2017/,3.5,,2017-03-11
2017-05-08,The Lost City of Z,2016,https://letterboxd.com/jacobworrel/film/the-lost-city-of-z/,3.5,,2017-05-07
2017-06-12,It Comes at Night,2017,https://letterboxd.com/jacobworrel/film/it-comes-at-night/,3,,2017-06-11
2017-07-18,Spider-Man: Homecoming,2017,https://letterboxd.com/jacobworrel/film/spider-man-homecoming/,3,,2017-07-15
2017-07-18,War for the Planet of the Apes,2017,https://letterboxd.com/jacobworrel/film/war-for-the-planet-of-the-apes/,1.5,,2017-07-16
2017-08-01,Dunkirk,2017,https://letterboxd.com/jacobworrel/film/dunkirk-2017/,3,,2017-07-23
2017-08-06,Detroit,2017,https://letterboxd.com/jacobworrel/film/detroit/,2.5,,2017-08-04
2017-08-31,Logan Lucky,2017,https://letterboxd.com/jacobworrel/film/logan-lucky/,2.5,,2017-08-20
2017-10-22,Blade Runner 2049,2017,https://letterboxd.com/jacobworrel/film/blade-runner-2049/,3,,2017-10-08
2017-11-04,The Florida Project,2017,https://letterboxd.com/jacobworrel/film/the-florida-project/,4,,2017-10-29
2017-11-04,A Ghost Story,2017,https://letterboxd.com/jacobworrel/film/a-ghost-story-2017/,2.5,,2017-11-03
2017-11-28,"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/jacobworrel/film/three-billboards-outside-ebbing-missouri/,4.5,,2017-11-26
2017-12-03,Lady Bird,2017,https://letterboxd.com/jacobworrel/film/lady-bird/,3.5,,2017-12-02
2017-12-06,The Salesman,2016,https://letterboxd.com/jacobworrel/film/the-salesman-2016/,3.5,,2017-12-04
