Date,Name,Year,Letterboxd URI,Rating
2013-06-09,Sunrise: A Song of Two Humans,1927,https://letterboxd.com/film/sunrise-a-song-of-two-humans/,4.5
2013-06-09,The Crowd,1928,https://letterboxd.com/film/the-crowd/,4
2013-06-09,The Cameraman,1928,https://letterboxd.com/film/the-cameraman/,4
2013-06-09,The Passion of Joan of Arc,1928,https://letterboxd.com/film/the-passion-of-joan-of-arc/,4.5
2013-06-09,Seven Chances,1925,https://letterboxd.com/film/seven-chances/,4
2013-06-09,The Navigator,1924,https://letterboxd.com/film/the-navigator/,4
2013-06-17,The Masque of the Red Death,1964,https://letterboxd.com/film/the-masque-of-the-red-death/,1.5
2013-06-18,This Is the End,2013,https://letterboxd.com/film/this-is-the-end/,2.5
2013-06-18,The Last Stand,2013,https://letterboxd.com/film/the-last-stand-2013/,2.5
2013-06-20,The Tall T,1957,https://letterboxd.com/film/the-tall-t/,3.5
2013-06-21,A Day in the Country,1936,https://letterboxd.com/film/a-day-in-the-country/,4
2013-06-23,After Lucia,2012,https://letterboxd.com/film/after-lucia/,1.5
2013-06-25,Poetical Refugee,2000,https://letterboxd.com/film/poetical-refugee/,3.5
2013-07-04,The Champ,1931,https://letterboxd.com/film/the-champ/,3.5
2013-07-06,Spring Breakers,2012,https://letterboxd.com/film/spring-breakers/,2.5
2013-07-09,Chasing Ice,2012,https://letterboxd.com/film/chasing-ice/,3
2013-07-09,Summer with Monika,1953,https://letterboxd.com/film/summer-with-monika/,3.5
2013-07-09,The Public Enemy,1931,https://letterboxd.com/film/the-public-enemy/,3.5
2013-07-15,Leave Her to Heaven,1945,https://letterboxd.com/film/leave-her-to-heaven/,3.5
2013-07-16,Only the Young,2012,https://letterboxd.com/film/only-the-young/,3
2013-07-16,Christmas in July,1940,https://letterboxd.com/film/christmas-in-july/,4
2013-07-16,The Cable Guy,1996,https://letterboxd.com/film/the-cable-guy/,3.5
2013-07-17,Flirting with Disaster,1996,https://letterboxd.com/film/flirting-with-disaster/,2.5
2013-07-17,The Minister,2011,https://letterboxd.com/film/the-minister/,3
2013-07-17,Where Is My Friend's House?,1987,https://letterboxd.com/film/where-is-my-friends-house/,3
2013-07-22,Stella Dallas,1937,https://letterboxd.com/film/stella-dallas/,3.5
2013-07-22,Perfect Blue,1997,https://letterboxd.com/film/perfect-blue/,4
2013-07-22,A Face in the Crowd,1957,https://letterboxd.com/film/a-face-in-the-crowd/,4
2013-07-24,A Heart in Winter,1992,https://letterboxd.com/film/a-heart-in-winter/,3.5
2013-08-01,In the House,2012,https://letterboxd.com/film/in-the-house/,2
2013-08-01,Grave of the Fireflies,1988,https://letterboxd.com/film/grave-of-the-fireflies/,4
2013-08-21,Paradise: Love,2012,https://letterboxd.com/film/paradise-love/,3.5
2013-08-21,Monsters,2010,https://letterboxd.com/film/monsters/,3
2013-08-21,Roger & Me,1989,https://letterboxd.com/film/roger-me/,3
2013-08-21,Phil Spector,2013,https://letterboxd.com/film/phil-spector/,3
2013-09-02,Mud,2012,https://letterboxd.com/film/mud/,2
2013-09-03,Before Midnight,2013,https://letterboxd.com/film/before-midnight/,2.5
2013-09-06,It's Such a Beautiful Day,2012,https://letterboxd.com/film/its-such-a-beautiful-day/,3.5
2013-09-08,World War Z,2013,https://letterboxd.com/film/world-war-z/,1.5
2013-09-09,La libertad,2001,https://letterboxd.com/film/la-libertad/,2.5
2013-09-09,The Impossible,2012,https://letterboxd.com/film/the-impossible/,1.5
2013-09-11,Hemel,2012,https://letterboxd.com/film/hemel/,3
2013-09-12,Camille Claudel 1915,2013,https://letterboxd.com/film/camille-claudel-1915/,2.5
2013-09-14,From Up on Poppy Hill,2011,https://letterboxd.com/film/from-up-on-poppy-hill/,2
2013-09-14,Joe Versus the Volcano,1990,https://letterboxd.com/film/joe-versus-the-volcano/,3
2013-09-15,Pumping Iron,1977,https://letterboxd.com/film/pumping-iron/,4
2013-09-15,Koyaanisqatsi,1982,https://letterboxd.com/film/koyaanisqatsi/,3.5
2013-09-20,Silent Souls,2010,https://letterboxd.com/film/silent-souls/,3
2013-09-22,It's a Gift,1934,https://letterboxd.com/film/its-a-gift/,3
2013-09-22,Birth,2004,https://letterboxd.com/film/birth-2004/,3.5
2013-09-23,No Rest for the Brave,2003,https://letterboxd.com/film/no-rest-for-the-brave/,2.5
2013-09-26,Computer Chess,2013,https://letterboxd.com/film/computer-chess/,3
2013-09-30,Go,1999,https://letterboxd.com/film/go/,3
2013-09-30,The Past,2013,https://letterboxd.com/film/the-past/,3
2013-10-01,Tabloid,2010,https://letterboxd.com/film/tabloid/,3.5
2013-10-05,The Bling Ring,2013,https://letterboxd.com/film/the-bling-ring/,1.5
2013-10-09,Gravity,2013,https://letterboxd.com/film/gravity-2013/,2.5
2013-10-11,Captain Phillips,2013,https://letterboxd.com/film/captain-phillips/,4
2013-10-14,Noah,2013,https://letterboxd.com/film/noah-2013/,4.5
2013-10-19,All Is Lost,2013,https://letterboxd.com/film/all-is-lost/,3.5
2013-10-27,Blue Is the Warmest Color,2013,https://letterboxd.com/film/blue-is-the-warmest-color/,4
2013-11-03,Portrait of Jennie,1948,https://letterboxd.com/film/portrait-of-jennie/,3
2013-11-10,42,2013,https://letterboxd.com/film/42/,3
2013-11-10,The Letter,1940,https://letterboxd.com/film/the-letter/,3.5
2013-11-23,The Little Foxes,1941,https://letterboxd.com/film/the-little-foxes/,3
2013-11-24,In the Company of Men,1997,https://letterboxd.com/film/in-the-company-of-men/,2.5
